,winner,num-of-moves,x-mean-decision-time,x-classic-bombs,x-vertical-bombs,x-horizontal-bombs,o-mean-decision-time,o-classic-bombs,o-vertical-bombs,o-horizontal-bombs
86,O,17,0.09813282362499365,0,1,0,0.09923218431249481,0,1,0
87,O,18,0.09306733494117773,1,0,0,0.09489093452942357,1,0,0
88,O,17,0.09727922162500491,1,0,0,0.09922741481250696,0,1,0
89,X,17,0.08511057788235335,0,1,1,0.073818202187514,0,0,0
90,O,12,0.10632857454545398,0,0,0,0.09566249699999348,0,0,0
91,X,17,0.08669887388235592,0,0,1,0.07302586200001215,0,0,0
92,O,17,0.10003923524999792,0,0,0,0.10152131006249832,0,0,1
93,X,17,0.0906793256470551,1,0,1,0.07720920281250088,0,0,0
94,X,16,0.10187892531250498,0,0,1,0.08000544339999655,0,0,0
95,O,18,0.11542569170587941,0,0,0,0.11051347270588462,0,2,0
96,O,17,0.10973781237500191,0,0,0,0.10934907687500939,1,0,0
97,O,17,0.10402815956249967,0,0,0,0.10139668256249834,0,0,1
98,O,18,0.11792307547058473,0,0,0,0.11248389835294106,0,1,1
99,O,17,0.10023364674998803,0,1,0,0.10320330875000394,0,0,1
